iter	Passed	Remaining
416	3948	785
417	3957	776
418	3969	767
419	3998	761
420	4027	755
421	4047	748
422	4066	740
423	4117	738
424	4149	732
425	4162	723
426	4173	713
427	4186	704
428	4198	694
429	4210	685
430	4222	676
431	4234	666
432	4246	657
433	4257	647
434	4268	637
435	4278	628
436	4289	618
437	4300	608
438	4311	599
439	4324	589
440	4336	580
441	4347	570
442	4361	561
443	4372	551
444	4382	541
445	4393	532
446	4405	522
447	4418	512
448	4435	503
449	4445	493
450	4463	484
451	4500	477
452	4572	474
453	4606	466
454	4626	457
455	4649	448
456	4665	438
457	4685	429
458	4699	419
459	4715	410
460	4729	400
461	4740	389
462	4756	380
463	4770	370
464	4797	361
465	4829	352
466	4886	345
467	4917	336
468	4962	327
469	5020	320
470	5049	310
471	5076	301
472	5108	291
473	5129	281
474	5148	270
475	5169	260
476	5187	250
477	5207	239
478	5224	229
479	5241	218
480	5261	207
481	5296	197
482	5314	187
483	5330	176
484	5347	165
485	5364	154
486	5379	143
487	5391	132
488	5402	121
489	5413	110
490	5444	99
491	5476	89
492	5499	78
493	5531	67
494	5547	56
495	5563	44
496	5580	33
497	5598	22
498	5621	11
499	5647	0
