iter	Accuracy	MultiClass
85	0.872972973	0.5156114733
86	0.872972973	0.5115025524
87	0.8783783784	0.5061226657
88	0.8810810811	0.5031049237
89	0.8864864865	0.497860441
90	0.8864864865	0.4947353418
91	0.8864864865	0.4945308204
92	0.8864864865	0.4943346166
93	0.8864864865	0.4888467793
94	0.8891891892	0.4853834184
95	0.8918918919	0.4790560708
96	0.8918918919	0.4788857171
97	0.8918918919	0.4787184139
98	0.8945945946	0.4785440482
99	0.8945945946	0.4767765469
100	0.8945945946	0.4744199139
101	0.9	0.4691396109
102	0.9027027027	0.4661246637
103	0.9027027027	0.4659544901
104	0.9081081081	0.4627183049
105	0.9081081081	0.4625471261
106	0.9081081081	0.457295429
107	0.9081081081	0.454305389
108	0.9081081081	0.4541417015
109	0.9081081081	0.4539886947
110	0.9081081081	0.45143032
111	0.9081081081	0.4512721544
112	0.9135135135	0.4463118852
113	0.9135135135	0.4461585245
114	0.9108108108	0.4418234975
115	0.9189189189	0.4406352201
116	0.9189189189	0.437469207
117	0.9216216216	0.435426316
118	0.927027027	0.4323433671
119	0.927027027	0.4300103488
120	0.9243243243	0.4297423992
121	0.927027027	0.4295199845
122	0.927027027	0.4293055678
123	0.9378378378	0.4273625793
124	0.9405405405	0.4235662676
125	0.9405405405	0.4234491629
126	0.9405405405	0.4232823751
127	0.9432432432	0.4197318052
128	0.9405405405	0.415272805
129	0.9405405405	0.4151388811
130	0.9432432432	0.4130084669
131	0.9432432432	0.4128969252
132	0.9432432432	0.4126818548
133	0.9432432432	0.4125738181
134	0.9432432432	0.412467913
135	0.9432432432	0.4123619702
136	0.9432432432	0.4122276302
137	0.9432432432	0.4120957971
138	0.9459459459	0.4096052723
139	0.9513513514	0.4073152466
140	0.9513513514	0.4048635929
141	0.9513513514	0.4047002059
142	0.9513513514	0.4045499886
143	0.9540540541	0.4043937232
144	0.9540540541	0.4042407418
145	0.9540540541	0.4040530701
146	0.9540540541	0.4039530811
147	0.9540540541	0.4038551818
148	0.9486486486	0.4021270542
149	0.9540540541	0.3996489622
150	0.9594594595	0.3967449018
151	0.9540540541	0.3922931314
152	0.9540540541	0.3921671023
153	0.9540540541	0.3920443084
154	0.9513513514	0.3900055272
155	0.9567567568	0.3882713004
156	0.9567567568	0.3849119393
157	0.9567567568	0.3829746568
158	0.9567567568	0.3817008339
159	0.9621621622	0.3798869437
160	0.9621621622	0.3797530937
161	0.9648648649	0.3796377878
162	0.9621621622	0.379509079
163	0.9621621622	0.3755777359
164	0.9675675676	0.3744047771
165	0.9675675676	0.3742772776
166	0.9675675676	0.3741530544
167	0.9648648649	0.37159203
168	0.9675675676	0.3705155297
169	0.9675675676	0.3704077594
170	0.9675675676	0.3670224388
171	0.9675675676	0.3650038029
172	0.9648648649	0.3648833012
173	0.9648648649	0.3647662718
174	0.9648648649	0.3646522638
175	0.9702702703	0.3605352003
176	0.9648648649	0.3587239333
177	0.9702702703	0.3561733337
178	0.9702702703	0.3560619478
179	0.9702702703	0.3559466002
180	0.9702702703	0.3558345445
181	0.9702702703	0.3557253304
182	0.9675675676	0.355618638
183	0.972972973	0.3523728043
184	0.9702702703	0.3514278489
185	0.9702702703	0.3513158293
186	0.9675675676	0.349363981
187	0.9675675676	0.3492537822
188	0.9675675676	0.3491459217
189	0.9702702703	0.3476823459
190	0.9702702703	0.3475757116
191	0.9702702703	0.3467110661
192	0.9702702703	0.34509084
193	0.9702702703	0.3446396091
194	0.9702702703	0.3427555178
195	0.9702702703	0.3426484835
196	0.9702702703	0.3425587521
197	0.972972973	0.3424556828
198	0.972972973	0.342355377
199	0.972972973	0.3422523397
200	0.9756756757	0.3406161914
201	0.9756756757	0.338746514
202	0.9756756757	0.3386542638
203	0.9783783784	0.3361421546
204	0.9783783784	0.3346256093
205	0.9783783784	0.3345461069
206	0.9783783784	0.3344684767
207	0.9783783784	0.3343924933
208	0.9756756757	0.3310212925
209	0.9756756757	0.3298780739
210	0.9756756757	0.3297831781
211	0.9783783784	0.3296902459
212	0.9810810811	0.3274295862
213	0.9810810811	0.3273013444
214	0.9810810811	0.3271762986
215	0.9810810811	0.3270540724
216	0.9810810811	0.32409753
217	0.9810810811	0.3218616354
218	0.9810810811	0.3209213771
219	0.9810810811	0.3208248716
220	0.9810810811	0.3207299214
221	0.9810810811	0.3182948302
222	0.9837837838	0.3167009075
223	0.9864864865	0.3137074919
224	0.9864864865	0.3114726356
225	0.9891891892	0.3086012078
226	0.9891891892	0.3073112399
227	0.9864864865	0.3064616686
228	0.9891891892	0.3054145808
229	0.9891891892	0.3038767221
230	0.9891891892	0.3019472828
231	0.9891891892	0.3008929895
232	0.9891891892	0.2999056944
233	0.9891891892	0.2979711908
234	0.9918918919	0.2956048501
235	0.9891891892	0.293772199
236	0.9891891892	0.2919222358
237	0.9891891892	0.2906509241
238	0.9945945946	0.2883111154
239	0.9945945946	0.2862062666
240	0.9945945946	0.28445655
241	0.9918918919	0.2813507865
242	0.9918918919	0.280156305
243	0.9918918919	0.2786899193
244	0.9918918919	0.2763233318
245	0.9918918919	0.2753026481
246	0.9891891892	0.2749808225
247	0.9891891892	0.2749014753
248	0.9891891892	0.2748262583
249	0.9891891892	0.2747722835
250	0.9891891892	0.2747196305
251	0.9891891892	0.2745991212
252	0.9918918919	0.2731161805
253	0.9918918919	0.2730482386
254	0.9918918919	0.272977451
255	0.9918918919	0.2706262339
256	0.9918918919	0.2705575295
257	0.9918918919	0.2704900943
258	0.9918918919	0.2703218631
259	0.9891891892	0.270159779
260	0.9891891892	0.270009219
261	0.9891891892	0.2698552762
262	0.9918918919	0.2678261956
263	0.9918918919	0.2677641862
264	0.9918918919	0.2677150515
265	0.9918918919	0.267666866
266	0.9918918919	0.2676195332
267	0.9918918919	0.2675416629
268	0.9918918919	0.2653514248
269	0.9918918919	0.2652871353
270	0.9918918919	0.2652241477
271	0.9918918919	0.2643515809
272	0.9918918919	0.2626954788
273	0.9918918919	0.2612183108
274	0.9918918919	0.2604060084
275	0.9918918919	0.2593708354
276	0.9918918919	0.2579990948
277	0.9918918919	0.2566526667
278	0.9918918919	0.2557613791
279	0.9945945946	0.2549723148
280	0.9918918919	0.2532464928
281	0.9918918919	0.2525034003
282	0.9945945946	0.251206506
283	0.9945945946	0.2494290642
284	0.9945945946	0.2481846624
285	0.9945945946	0.2470171925
286	0.9945945946	0.2462063867
287	0.9945945946	0.2449788139
288	0.9945945946	0.2438399093
289	0.9945945946	0.2422305103
290	0.9945945946	0.2415776258
291	0.9945945946	0.240221024
292	0.9945945946	0.2387877699
293	0.9945945946	0.2381800516
294	0.9945945946	0.2364055591
295	0.9972972973	0.2351192337
296	0.9972972973	0.2337312921
297	0.9972972973	0.2321065598
298	0.9972972973	0.2305720807
299	0.9972972973	0.2305242356
300	0.9972972973	0.2304810741
301	0.9972972973	0.2304388421
302	0.9972972973	0.2303974175
303	1	0.2292165282
304	1	0.2279807224
305	1	0.227941293
306	1	0.2279023847
307	1	0.2278639881
308	1	0.2278003123
309	1	0.2277625216
310	1	0.2277000071
311	1	0.2276629367
312	1	0.2276016705
313	1	0.2275413975
314	1	0.2275045591
315	1	0.2274453228
316	0.9972972973	0.2267711936
317	0.9972972973	0.2267353452
318	0.9972972973	0.2267005949
319	0.9972972973	0.2266432213
320	0.9972972973	0.2259789205
321	0.9972972973	0.2249381595
322	0.9972972973	0.22438303
323	1	0.223720235
324	1	0.2227257654
325	1	0.2216337071
326	1	0.2204379086
327	1	0.2195245112
328	1	0.2186654778
329	1	0.2180464672
330	1	0.2170880865
331	1	0.2162229717
332	1	0.2154908834
333	1	0.2148423953
334	1	0.2141327651
335	1	0.2137162403
336	1	0.2133189644
337	1	0.2128167861
338	1	0.2122708848
339	1	0.2115952155
340	1	0.2111347777
341	1	0.2106479001
342	1	0.2101108344
343	1	0.2100260378
344	1	0.2091697177
345	1	0.2081835554
346	1	0.2070642334
347	1	0.2061801852
348	1	0.206144926
349	1	0.2061107352
350	1	0.2060773574
351	1	0.2060446589
352	1	0.2060125356
353	1	0.2059809198
354	1	0.2059497972
355	1	0.205919128
356	1	0.2058886998
357	1	0.2052636021
358	1	0.2046796108
359	1	0.2038575101
360	1	0.2033683698
361	1	0.2027273239
362	1	0.2010217014
363	1	0.2002508874
364	1	0.1993783975
365	1	0.1978159969
366	1	0.1977757514
367	1	0.1977459975
368	1	0.1977167734
369	1	0.1976880179
370	1	0.1972840036
371	1	0.1965303524
372	1	0.1956169678
373	1	0.1949226763
374	1	0.1938376541
375	1	0.19324005
376	1	0.1931561932
377	1	0.1928611907
378	1	0.1917598697
379	1	0.191399815
380	1	0.1913461771
381	1	0.1906906706
382	1	0.1895642259
383	1	0.1888693182
384	1	0.1880640029
385	1	0.1875481718
386	1	0.187274838
387	1	0.1868041633
388	1	0.1865433653
389	1	0.1858683991
390	1	0.1853565244
391	1	0.1835164284
392	1	0.1830401935
393	1	0.1824293043
394	1	0.1819858853
395	1	0.1815151895
396	1	0.1809130873
397	1	0.1804996488
398	1	0.1789699688
399	1	0.1785005833
400	1	0.1779662031
401	1	0.1770543785
402	1	0.1764412495
403	1	0.1754483881
404	1	0.17498722
405	1	0.1740794186
406	1	0.173517876
407	1	0.1731071553
408	1	0.1720934941
409	1	0.1715269695
410	1	0.1707755425
411	1	0.1704417183
412	1	0.1697109868
413	1	0.1692441657
414	1	0.1687098561
415	1	0.1681942841
416	1	0.1675029226
417	1	0.1669822347
418	1	0.1659819566
419	1	0.165495226
420	1	0.1645325634
421	1	0.1638035323
422	1	0.163382591
423	1	0.1626609873
424	1	0.1622366844
425	1	0.1607699073
426	1	0.1603600827
427	1	0.1599052428
428	1	0.1594906436
429	1	0.1589723407
430	1	0.1582220915
431	1	0.1576619649
432	1	0.1570949627
433	1	0.1565036427
434	1	0.1561821008
435	1	0.1557622347
436	1	0.1553913584
437	1	0.155026047
438	1	0.1545876794
439	1	0.1539132209
440	1	0.1534344066
441	1	0.1531773947
442	1	0.152496229
443	1	0.1513986737
444	1	0.1510471264
445	1	0.1501344426
446	1	0.1497459722
447	1	0.1492695302
448	1	0.1487735942
449	1	0.1482977476
450	1	0.1479085736
451	1	0.1473422448
452	1	0.1470454374
453	1	0.1467193958
454	1	0.1460602112
455	1	0.1460189908
456	1	0.1450417164
457	1	0.1450020296
458	1	0.1447140657
459	1	0.1443111845
460	1	0.143948619
461	1	0.143580529
462	1	0.1428772394
463	1	0.1425030788
464	1	0.1422181379
465	1	0.1415722879
466	1	0.1414350304
467	1	0.1414082161
468	1	0.1413820339
469	1	0.141356396
470	1	0.1413312357
471	1	0.1413065016
472	1	0.1412821537
473	1	0.1412581609
474	1	0.1407734224
475	1	0.1405016598
476	1	0.1400861187
477	1	0.1397254998
478	1	0.1394188401
479	1	0.1392057242
480	1	0.1388145076
481	1	0.1381994498
482	1	0.1378019604
483	1	0.1372833909
484	1	0.1372452144
485	1	0.1371450065
486	1	0.1371077711
487	1	0.136567775
488	1	0.1365501064
489	1	0.1365327312
490	1	0.1363719537
491	1	0.136352142
492	1	0.1363328466
493	1	0.1363139693
494	1	0.1362952888
495	1	0.1362770403
496	1	0.1362590495
497	1	0.1362412913
498	1	0.1362237474
499	1	0.1362062298
